id,prompt
7b5fe51ed779338a10f69214df01463a,The lawyers thanked the managers .
708f7ecd73186ee4c3ca5915dc0f8d41,The authors recognized the judges .
e01f9d42a8a0d3ad497ea0fa1f8b6d21,The senators saw the author .
ca01a0545eb2de904a057e315d55cb41,The students stopped the professors .
4441be25289d3b09cd95ea90c4bc8def,The athletes thanked the student .
dcea7e67bc3d854fc36ed899659e786a,The lawyers recommended the professor .
fc03e02d8114fd9715dd33aff6d2e290,The student believed the presidents .
352b9cf56bb4337c80940d2842226a80,The tourist believed the scientists .
0421791e34c246911ece4b8eb9adc655,The doctors supported the author .
1bd02bd84d3bee94a34a93bfee13fc99,The doctor encouraged the author .
23316946cb1aeb4466d2429f3ed45e9a,The managers encouraged the secretaries .
2f0ce05beee7e257982d56ccf1a59ab1,The lawyers advised the tourist .
f8b1dfb51d5e8acf6eb37da01b01de2b,The presidents stopped the student .
fb7b9e4a965f98161717738416a229f9,The judges avoided the secretary .
c449e14f4a15db747b0502229cc68ad1,The author recognized the artist .
5118cf10417eb246f320fc212d8f0102,The artist mentioned the manager .
58f9baad4504408c12f690984fd26618,The students thanked the managers .
88cd4903b965ccc998cf0e5eaf2b9dbf,The secretary admired the presidents .
30d4e070524e9e446f2cafffcd369e0e,The artist introduced the judges .
a7ca700315d557be781b3a82e2d233ff,The secretaries recommended the judges .
d005eb8c1bab9e7a2aa2e0606a1e1024,The manager avoided the bankers .
e82bf701651bbb7582126376275132a0,The secretaries helped the judge .
8546a701c0aaabf226fc3e3c4035c660,The author introduced the secretary .
a0c2b9cb23702bc26af07d884fa2acaa,The judge contacted the doctors .
764b63b6594aa3fc3f2e079e09a8832a,The judge believed the actors .
9ecf9acd57df4d6931a5c5115f47139d,The tourists recognized the senators .
